year_court_caseid,Word2Vec
2000_SGHC_1,"[-0.08911123585223103, 0.13744355276408474, 0.03245189282110563, 0.0507794376355577, -0.020710323848370155, -0.23458351886482134, 0.07316901930261287, 0.261196521948897, -0.05190639365817318, -0.05810655928084549, -0.04337549143935855, -0.235711840133867, -0.06595825881058293, 0.041556079798228084, 0.07715949700976418, -0.11713647748140747, 0.07668349659511459, -0.20526846308709804, 0.029257095241175615, -0.2846318668256109, -0.031195817667113792, 0.04543382331794468, 0.02484246258713218, -0.08729283809056947, -0.1155490950455685, 0.003565611809860576, -0.13617595449513448, -0.18642809605969465, -0.13536425670848326, 0.029290633696318555, 0.1416528401077197, 0.06675400744735469, 0.04739959660857029, -0.001230919196731519, -0.11719464877663188, 0.21339882769103946, 0.06390431735548663, -0.09618346457633017, -0.11142923254948185, -0.2416203061322882, 0.07741909748616255, -0.18724581153108077, -0.11161743645355891, -0.05252729625603706, 0.12853452414072578, -0.053962707989603405, -0.1565444794948514, -0.04565953852102181, 0.032445571544430195, 0.10689317905854469, 0.09034414561427576, -0.18170237895076105, 0.031783165766810936, 0.002734651418627307, -0.14607470598530545, 0.142179428850564, 0.11538711982162944, -0.06386471103186214, -0.21834565437977305, 0.04598902724683285, 0.018666424296132487, 0.0045956539464371915, -0.013442347702146187, -0.09186685786750143, -0.18668411331344523, 0.05135722596170595, 0.07207845086647709, 0.10576933908184262, -0.18501545388014617, 0.15892011696959218, -0.059870131766229504, 0.004554261549946314, 0.10074759661869041, -0.01512059868080576, 0.14758826551280907, 0.044648377095470114, -0.02243393147805345, -0.06908782908040148, -0.119483209354992, 0.07310416752848073, -0.046819609313250514, -0.035120289341271864, -0.14848309822370462, 0.24482427907449789, -0.08541161406669306, 0.09947749393133898, -0.026344194310888677, 0.22144899684658553, 0.16469093077439256, 0.014122434510853753, 0.14682356451659467, 0.1590477193533084, -0.0435000386729292, 0.04799763115906788, 0.2872865748300604, 0.1858899192040199, 0.06277988647099418, -0.19154717540809524, 0.053748106331903495, -0.02640065147209034]"
2000_SGHC_2,"[-0.11913180440870731, 0.10448532442864904, 0.08504158635283597, 0.07849032846736893, 0.004269061512535178, -0.22640413716998448, 0.0405727149713849, 0.3772883593060208, -0.10192990009614292, -0.0812694010613322, -0.13828316816605007, -0.25601322883622774, -0.02004467257650341, 0.05795238370730328, 0.003784166975245134, -0.04949642338532537, 0.027316033659105232, -0.12484716497483647, -0.028245793117900257, -0.26269067590422834, 0.10810055520993385, 0.1158589175951571, 0.020588405904284166, -0.09243045659050796, -0.024374346747320415, 0.01855603291812581, -0.12652091620306974, -0.12891315875413079, -0.05838454422697552, 0.02369018481708289, 0.18577773531227929, 0.08594821865672729, 0.023441672417782694, -0.09397506281470772, -0.21097935520731834, 0.18286822452127782, 0.02951981527749883, -0.22699926997011796, -0.07977715907653592, -0.3040481763312438, -0.08770308191665174, -0.10807456856860923, 0.03356285206513903, -0.002510885112931266, 0.10801570190290359, -0.026326448799960458, -0.1612203604328242, -0.05539793195073922, 0.09393604860948375, 0.051518086179673336, 0.09706789627530488, -0.10717929640611264, -0.035036497153852, 0.03635657515616675, -0.11377501451511227, 0.1120896660373253, 0.07603054403465813, 0.008733929800899213, -0.20512134904224866, 0.06845865280709826, 0.06758682825376798, 0.05937095769828828, -0.09452747154830761, -0.014454307472110269, -0.2324151434285815, 0.061787175230672516, 0.10043986372166414, 0.12304102127549944, -0.17121018253510786, 0.16235632848379294, -0.06229915557152378, 0.09161002565484953, 0.0767464194756461, -0.09270270940160345, 0.15653551227650053, 0.10070288232914747, 0.030361612974425606, -0.0644196573302375, -0.11850521166055869, 0.14596160775993572, -0.04611679934368701, -0.026969550030191032, -0.2119255063665904, 0.22039195580656643, -0.0284274310952402, 0.06825911573859246, -0.09220350264414431, 0.24430475107368355, 0.22155157344917806, -0.01394900124772541, 0.19641680000185666, 0.0900604071635143, 0.002699572743279965, 0.050941556013571636, 0.21763289317075793, 0.19377276540853514, 0.06597550229161511, -0.14906059108317948, 0.10195150151754957, -0.04954297383003856]"
2000_SGHC_4,"[-0.02975214201303471, 0.11394181690479083, 0.018858210303804575, -0.005961209593762813, -0.008315840522839143, -0.2757242392782826, 0.02741072538121979, 0.3692533914037004, -0.10580895701195386, -0.08075386209756097, -0.08330690730998462, -0.21596813754372438, -0.029209443327694682, 0.06714270209810366, -0.03190132106912905, -0.13068689604312528, 0.028280731657521985, -0.16795653180984607, -0.03418579782640271, -0.32783182775598024, 0.07850668966515109, -0.0006311807759251405, 0.08758238260494712, -0.11349958134089536, -0.08279115297163521, -0.021217208454964734, -0.11603120639414202, -0.13609726480094853, -0.10946864696480765, -0.006748025506458856, 0.18287938277494226, 0.039579890756130984, 0.10320453915432796, 0.005832994864017661, -0.1605409792091592, 0.17764713156773385, -0.041492822920122935, -0.22357419560783584, -0.1427766402250902, -0.2918898527991567, 0.006514187433052771, -0.15423170957733667, -0.05313142389212551, -0.02899376008569034, 0.13413606571718972, -0.07623559993919085, -0.08127666314455825, -0.05688186029890475, 0.09728398968894823, 0.07557245853788261, 0.03119641229434798, -0.13589916745133035, -0.03964374588482791, 0.028074617350824782, -0.1781783256020443, 0.1270768741957614, 0.08024568352781317, -0.0075662887260230065, -0.2137832921913658, 0.09267969397485713, 0.03306717552999805, 0.03573138176313688, -0.06127989378893492, -0.11113707689085438, -0.24447045500546133, 0.13669653422832848, 0.11840585558412911, 0.0614883580107442, -0.2518379412267001, 0.1861283034071344, -0.10318031094230107, 0.055488807293227374, 0.11424873568648254, -0.034071725353985935, 0.10804865407804716, 0.14423564401921443, -0.02755381732036764, -0.08083995501567774, -0.20618490762547212, 0.12576393958082913, -0.042519440156896196, -0.009617694585959187, -0.16502199307474025, 0.2820454312832985, -0.06480432896236561, 0.03804064745620029, -0.07309137480512977, 0.22419446106677146, 0.1737507718373008, 0.025060362705667104, 0.15701306137043122, 0.048377153950485155, -0.03787369202158093, -0.020697243146563536, 0.19361446666004953, 0.1728558151168236, 0.08711235606087586, -0.13859377216541774, 0.05626170066077578, -0.09529689572480088]"
2000_SGHC_9,"[-0.058357461182548934, 0.07636239769481189, -0.009818410123490034, 0.04853047603592936, 0.009831346517836587, -0.16343852163877634, 0.04126497314814313, 0.15921117569756718, -0.07741736918193313, -0.05842444806285532, -0.00677993691099406, -0.10731202377154764, -0.04185301998827969, -0.010618137871436785, 0.01612867756167981, -0.07315690700887842, 0.009234124512377335, -0.18387406274874127, 0.005581393565160847, -0.18703776833691957, -0.012749211240492336, 0.036466260430345364, 0.008023524087970692, -0.03977002979635335, -0.0024752346708472, 0.029646555864276874, -0.051849158097520075, -0.10419459110208318, -0.056961724287376996, 0.025701686851185773, 0.06856257127251773, 0.048074909469392975, 0.03842392920689509, -0.022560540984376473, -0.058831780291764085, 0.13696568095809328, -0.001948237864229491, -0.09968146406509708, -0.09650313579765833, -0.1501811693002165, -0.0105312803785009, -0.09928347615409741, 0.021333920285188122, -0.0114209160465743, 0.09806864294099861, -0.028065627475837823, -0.015804325023473374, -0.045366289089969564, 0.046425442180423215, 0.030876756031725523, 0.08476915581366129, -0.04061834061254574, 0.05022519704498417, -0.005289395872332373, -0.05261158310206591, 0.10095734103887746, 0.0012908364031125176, 0.011614595580111006, -0.10580115703519731, 0.05255740930829032, -0.003893686263401945, 0.038084965261045545, -0.017101468761863376, -0.02682874967401798, -0.1110624292766494, 0.045496069397612485, 0.047151662429910056, 0.11914762602377255, -0.13103168145382563, 0.13149638966846783, -0.11633426157873025, 0.04300025250531931, 0.10836234367328935, -0.052650890267759036, 0.12409035966162925, 0.07543531103076133, -0.005254446403591224, -0.028843634017017894, -0.1386652617525738, 0.10074346871898238, -0.015769957244725623, 0.05870138354747828, -0.11998111899711389, 0.1318655588243783, -0.06651285136596555, -0.002749343091974589, 0.02554246087855272, 0.16245265621527105, 0.09545693613292106, -0.06561638304831839, 0.13717719513626225, 0.08417896149201995, -0.05777288928825771, 0.039676155470542415, 0.19100002026333746, 0.12921828512860611, 0.09451520217137527, -0.030829338605136536, 0.019563570535181304, -0.031600257222112106]"
2000_SGHC_12,"[0.0007421757429649399, 0.0034368738129528908, -0.0036539751889339074, -0.002841661957948393, 0.00249510750062335, -0.009923362628649408, 0.003424062476246822, 0.01291381190271381, -0.006840785593856315, -0.005082312581696504, -0.002545374321729272, -0.010682994287226638, -0.0023836014485233456, 0.003700537479646202, 0.004175799581414164, -0.005227247869353616, 0.0004758465468119146, -0.007879570571153512, -0.0013961260569025449, -0.013179700752418186, 0.004078510728307978, 0.0015590230939139743, 0.0035194408784890757, -6.42604791210033e-05, -0.0016429415376281926, -0.0018818633345683731, -0.005587699609718952, -0.001965965981218835, -0.0012708730692621258, 0.0051895047953301994, 0.0074741884730158475, 0.0010582014907118424, 0.010023408279143827, -0.012652743779690846, -0.004795994388120095, 0.006454786844433575, -0.000595143618566736, -0.0016110578168032539, 0.0014532003498626746, -0.013421767363438817, 0.0027090094102006973, -0.004467078131809202, 0.0016188087018334143, -0.0039922670945776876, 0.003604394254334447, -0.0015954746557425195, -0.005505825929897066, -0.0011320010882037742, 0.007342708053230937, 0.003401348295065455, -0.0002916125207333165, -0.005618803955417821, 0.005595567912530749, -0.0023522799456259236, 0.0018518785856965249, 0.001571313587388628, 0.00016520629975963635, 0.001882376778482737, -0.0037361732980521942, 0.000292463805758539, 0.004856738677720362, -0.001445852140563688, 0.002660932669371234, 0.0006598547822028883, -0.0055728565928655225, 0.007860298230838994, -0.0012137248627122725, 0.005460609774426966, -0.01008974057066479, 0.0083924870007625, -0.0027328889441992645, 0.0012908377257927724, 0.005860688469142219, 0.0036513032451890664, 0.007577554839298426, -0.002230255173737926, -0.0018410749034403027, 0.0007598361995848323, -0.0013593307749770985, -0.0014162718610817603, -2.3022247537360148e-05, -0.0016033468063560085, -0.01179473690747211, 0.006727172193948079, -0.004297621669015703, -0.004214541868596162, 0.00880021162172213, 0.004502243689723793, 0.010887561458595292, 0.0073000487509243366, 0.016147062809338694, 0.0013781383523392662, -0.0019518121341723206, 0.0019616718277821084, 0.004646516416058247, 0.0029943576652865, -0.003122390601060328, -0.005455781763436568, 0.0026083890489472478, -0.005611587823541659]"
2000_SGHC_13,"[-0.07409449278179832, 0.06286012740699949, -0.02486705542570092, 0.0023956578636721597, -0.025512519737356142, -0.2252602220581854, 0.05028529423040541, 0.23600576588444783, -0.1323146278266242, -0.03261003951284002, -0.017456738793372503, -0.15608158540269185, -0.021454033015452952, -0.02350616117498738, -0.020049900662077017, -0.0632473315287016, -0.008935362289225075, -0.24506146081189487, 0.017980662930972006, -0.2596933524190046, 0.007507040130493995, 0.057561749276639367, 0.03257699267419373, -0.06413868511105261, -0.06194559373795063, 0.044175467749243275, -0.043863654726548774, -0.17173921077058565, -0.10879235848681856, -0.026453149717352426, 0.09908370249832558, 0.1059325166341565, 0.0232587044488848, -0.07902886619127761, -0.037545339004000367, 0.1800665847200535, -0.06231863749744098, -0.16020970440849586, -0.13839192735912878, -0.33799289800419047, 0.024138384497153016, -0.1997002823448222, -0.121200298181961, -0.004185590489684137, 0.07903457415352692, -0.054726514707218454, -0.06882504679634525, -0.030735042047610333, 0.09336220402841211, 0.012823427425678385, 0.10659402319696602, -0.12247003610414195, 0.024382526289011237, 0.04798060721315431, -0.11654073774506836, 0.10959649063557027, 0.02847530189324523, -0.009678988324323089, -0.2379754440227392, 0.07521725331534104, 0.009644578634398854, 0.061243590708059, -0.010915898960173044, -0.11587102403431464, -0.22538835637386817, 0.07385931801685676, 0.1304752267448299, 0.16285782933183873, -0.15399693400821873, 0.18430337286113463, -0.14085098804838686, 0.00026049198957185963, 0.15757229955620075, -0.04486412152955741, 0.10506264169070478, 0.07453100747154727, -0.04352139297908047, -0.08674093975449901, -0.0911089732999338, 0.10346246760165424, -0.09116418881537376, 0.03353116469675749, -0.18290230413183903, 0.21375645130308482, -0.11873283659119203, 0.04077348075710917, 0.009513449294727862, 0.2659630589507738, 0.20791469441274768, -0.07331751288265861, 0.22656459197171175, 0.13558742168027646, -0.10710754456469812, 0.07194040685238096, 0.17897579215608037, 0.20126192684633187, 0.048108298438897745, -0.1699082724968045, 0.05041973901954247, -0.10928112128028156]"
2000_SGHC_17,"[-0.079516100452668, 0.11066068748050198, 0.01712307225754842, 0.012571275034494902, 0.011524196529066425, -0.18889859433279557, 0.0566742849979727, 0.27916921725889454, -0.19465845889177452, 0.0037710324387950052, -0.10357548838772741, -0.17076837699733624, -0.0025568487840858752, 0.022522066807072232, 0.01832814310712195, -0.095081914084501, 0.06657229777469877, -0.14862358655755212, -0.08910374339087074, -0.2964494467288458, 0.011230843617984177, 0.07074988972471685, 0.10195285124691571, -0.11370941118216839, -0.09381465197217707, -0.004179415334712547, -0.16254944096313043, -0.12882338289399536, -0.18009280900464578, 0.06845846834535502, 0.17588752004362287, 0.09736841051098036, 0.04534757757863524, -0.04293679594835203, -0.16494988280595566, 0.28949612680138376, -0.018292088236045615, -0.13435599162262313, -0.10716581250585261, -0.3416767569524901, 0.006144370686252551, -0.1821594591651644, -0.06425004349926448, -0.03646448329502881, 0.15613444734896934, -0.07245705866185176, -0.15504368203026908, -0.08293569007647686, 0.048887890488777286, 0.04638627131602594, 0.11731140339354268, -0.19591645287210438, 0.00016175568377306893, -0.05279191687044238, -0.11530655501093588, 0.11276122288537674, 0.0697699379074533, -0.047449368916350564, -0.2059482732699031, -0.0026967733324039928, 0.02036188487603003, -0.007927057002983755, -0.0028298230271026287, -0.08149498003173848, -0.20890308740187663, 0.15685935226224718, 0.11078672469625263, 0.12008281983688575, -0.2101273519753599, 0.19741696780737567, -0.07142495702267909, 0.04316239182387485, 0.0951309132205994, 0.06695472922708307, 0.07961989072639318, 0.060701972763149106, -0.004298347656743868, -0.040122534643516554, -0.11358659084962339, 0.08075015981282507, -0.07212548245023302, -0.07860300854152563, -0.13800741840077907, 0.14449262170463192, -0.06856905655035762, 0.037830839312768406, -0.024850648644224458, 0.18514706557806657, 0.14700833357819895, 0.02425842947519834, 0.20521449291584443, 0.05155426617965204, 0.014800596076062229, -0.007523104591730765, 0.24420088306576215, 0.1837504652385809, 0.07021079581408274, -0.08922184462449989, 0.06827593933993659, -0.027764928728151197]"
2000_SGHC_20,"[-0.09375523597458038, 0.32185199492897526, -9.200331863321905e-05, 0.042545188894325375, 0.10018557737585869, -0.3143163080341916, 0.15715386316080654, 0.4135863948780304, -0.17973581331589247, -0.09300334644532578, -0.09566349166508865, -0.22440307210869118, -0.034109843709491224, 0.017842067555299747, 0.11794489599809292, -0.16570487404280074, 0.028402271823358832, -0.11876850003048302, -0.1399263654985039, -0.4041632847606663, 0.09086713379681059, -0.06757726002390811, 0.14363919898545632, -0.16153146957085018, -0.15885209241069692, -0.07621673153929304, -0.06208508251987288, -0.15875605500472326, -0.21140257149948743, -0.03666794156720991, 0.18749911648665318, -0.08625448751694642, 0.07745457700660385, -0.17268356460259213, -0.2028427940396106, 0.2580839692353166, 0.11464082096688316, -0.1613989211547579, -0.18118213665694824, -0.2820761631124926, 0.013997788521075532, -0.155518934748559, -0.13170379514878758, -0.08265793928726674, 0.19288913671544813, -0.05678883308256556, -0.09671116712390201, 0.04330488846606859, 0.09520250199084934, 0.15918177980291862, 0.16123990939893182, -0.16077325937729822, 0.006801757853134925, -0.029370685291370272, -0.08926947273303998, 0.07314897147319405, 0.09325574015800442, -0.0899958843040165, -0.19671531083231708, -0.01068619200335752, -0.03740391595769699, -0.0032056602823398984, 0.15178249855165896, -0.25511731899825435, -0.26351622376648126, 0.1789298510293534, 0.15970876973032022, 0.19384778460868776, -0.24104286029543026, 0.1676967974592309, -0.13223139739080164, 0.036386493760673065, 0.17251891734785463, 0.05068643079080286, 0.12227610424684834, 0.12111472116884658, 0.03306960747559508, 0.042894217505889634, -0.18679258561353174, 0.03566432431413172, -0.05996845854843662, -0.00979531316738541, -0.23887609693149822, 0.24485066716934986, -0.10178448350066423, -0.05118083349537918, 0.032485338976919284, 0.059176347729635696, 0.26950117595487966, 0.08081579997341572, 0.23766468163318957, 0.1689351486244507, 0.006374181685011014, -0.055196431888414894, 0.41112943944996316, 0.2929741398313406, 0.1529942656017818, -0.24099110803742912, 0.06770408246039494, -0.06647705050402507]"
2000_SGHC_24,"[-0.038327003110601165, 0.1098096194319678, 0.0143405664363967, -0.01525936237149352, -0.1264820242348076, -0.17028009197877486, 0.03452227503729367, 0.2453217661542391, -0.0607881448740536, -0.08004007146264455, -0.0657818564347733, -0.2056729436875761, 0.058835924490551625, -0.0011291772661590604, -0.00430610472227308, -0.10806442726779983, 0.09499005387149194, -0.2518717577419226, -0.009516928353106342, -0.2874118644949248, 0.07002710637651023, 0.030829623534980068, 0.051624059219497975, -0.08664315136650007, -0.11396953199080198, 0.06530910659651827, -0.08856811473603707, -0.25432970155039675, -0.11015246560584353, 0.03989183227168113, 0.22527498465977247, 0.10244251400746571, 0.04701006283177003, -0.10816706763542179, -0.15950123021714296, 0.1793487315588832, -0.09287031472414953, -0.1546144984178888, -0.10487216880626138, -0.33718417768558717, 0.07345352642048356, -0.11299284771023564, 0.01603851554337513, -0.07409018302304195, 0.1357097568552124, 0.03001780341354091, -0.06257831193881695, -0.03258389465192497, 0.003929899300499008, 0.07810030104064412, 0.10647836963025488, -0.1379138159159274, -0.07033880158413994, 0.011060107245618742, -0.1341056148219324, 0.07327175205887197, -0.003190956968270943, -0.02121828423125016, -0.17511199566557845, -0.024754640060854233, 0.11707900342705216, 0.02244089334147493, -0.03905335077211443, -0.028440656468169664, -0.19090310483558706, 0.10162963500382623, 0.07324540442515443, 0.05020112403796262, -0.2289708658575326, 0.1639025579210472, -0.1271194516877807, 0.007445697689314403, 0.09975523960178959, -0.020248233455027326, 0.10525580898123191, 0.01215489547534298, -0.001790982706884873, -0.04127975733569634, -0.1191698893561849, 0.1696103162567637, -0.10838749056763108, -0.04178067623705916, -0.1646405088676227, 0.24655068836549118, -0.036125324970117376, 0.0118667486416592, 0.030790212214386322, 0.15511813202081592, 0.13799998656392784, -0.04972590022737997, 0.2362810055325045, 0.020077074579992114, -0.09998430808487248, 0.046316197593508926, 0.17681381757766768, 0.15081484062366046, -0.012884583390338208, -0.16226436828332744, -0.00539366547441455, -0.022226305615926742]"
2000_SGHC_29,"[-0.12204678464628016, 0.12492020475256878, 0.04400098887054933, 0.07401233094869064, 0.009522433332724848, -0.2555495712445184, 0.029873428122130077, 0.27436057464890257, -0.10942219173664162, -0.09090057700451154, -0.13444836181541245, -0.19207968837439893, -0.11331692539603198, 0.09716349429900534, -0.01611671236557024, -0.0927840065341405, 0.03300725942209333, -0.16138759195260538, -0.04777577484126201, -0.3120120715659724, 0.01432515089616768, 0.01607814909551202, -0.0032311570460144923, -0.034917362109128894, -0.09656341138955123, 0.014571218737545112, -0.1398693049776143, -0.15768100534155813, -0.12224582155116098, 0.05855062372763367, 0.22552130358939723, 0.061062675530329895, 0.07760260995689017, -0.08551782613939418, -0.11148050778462083, 0.2032962399612334, 0.06955643450013885, -0.14195864209347986, -0.08652124539410609, -0.27592870168403005, -0.006768240343934615, -0.1602785285176902, -0.009296704796936738, -0.09826357545610706, 0.19222669881857313, -0.12508313813328018, -0.0798584186204692, -0.046463634961445385, 0.15977337316404008, 0.055262387881609684, 0.11217851232582397, -0.17629752561722034, 0.02438900721722597, -0.017104245118141428, -0.15658943276043838, 0.12008898376305843, 0.09590684096583942, -0.028301670188490398, -0.18888513859640996, 0.04323962386225258, 0.11489209731564712, 0.00820484922171153, 0.00761857393542209, -0.10583217063234858, -0.24130029810732326, 0.08735600712484327, 0.05533730970032307, 0.17712631641394075, -0.18981380515843327, 0.12214722109214227, -0.13544408014350198, -0.025454854171259828, 0.12662679371726274, -0.033290045731807216, 0.17088413977311664, 0.06515544910748011, 0.004174442135557667, 0.022815696260263495, -0.08113227934457558, 0.04400762913122388, -0.05621583498157202, -0.04231671826709931, -0.16673966680802632, 0.2878314306177426, -0.03626127202979802, -0.06138520198534139, 0.0418659261207032, 0.188531233788927, 0.1835466690675089, 0.004953385650393216, 0.21381134037835178, 0.05864094634980538, -0.031623838474156056, -0.0045125689081874, 0.27971207994597436, 0.16790791404476998, 0.12960500459660895, -0.189665918887931, 0.07360729967738912, -0.0718454866056117]"
